"","x"
"246","ENSG00000119919"
"247","ENSG00000080293"
"248","ENSG00000146926"
"249","ENSG00000182795"
"250","ENSG00000185479"
"251","ENSG00000158055"
"252","ENSG00000153266"
"253","ENSG00000103067"
"254","ENSG00000171201"
"255","ENSG00000279411"
"256","ENSG00000228271"
"257","ENSG00000125492"
"258","ENSG00000172551"
"259","ENSG00000112333"
"260","ENSG00000286381"
"261","ENSG00000233834"
"262","ENSG00000225649"
"263","ENSG00000203837"
"264","ENSG00000133661"
"265","ENSG00000171956"
"266","ENSG00000214872"
"267","ENSG00000180264"
"268","ENSG00000167183"
"269","ENSG00000125285"
"270","ENSG00000168631"
"271","ENSG00000273706"
"272","ENSG00000265179"
"273","ENSG00000185736"
"274","ENSG00000187135"
"275","ENSG00000272620"
"276","ENSG00000008196"
"277","ENSG00000225174"
"278","ENSG00000287417"
"279","ENSG00000095596"
"280","ENSG00000149043"
"281","ENSG00000260918"
"282","ENSG00000227128"
"283","ENSG00000154646"
"284","ENSG00000265142"
"285","ENSG00000154415"
"286","ENSG00000185847"
"287","ENSG00000135443"
"288","ENSG00000114771"
"289","ENSG00000182968"
"290","ENSG00000176153"
"291","ENSG00000079393"
"292","ENSG00000204983"
"293","ENSG00000226846"
"294","ENSG00000157017"
"295","ENSG00000082556"
"296","ENSG00000124253"
"297","ENSG00000287315"
"298","ENSG00000273540"
"299","ENSG00000171495"
"300","ENSG00000124260"
"301","ENSG00000206579"
"302","ENSG00000231605"
"303","ENSG00000118322"
"304","ENSG00000171346"
"305","ENSG00000139155"
"306","ENSG00000242808"
"307","ENSG00000235139"
"308","ENSG00000167757"
"309","ENSG00000167768"
"310","ENSG00000250366"
"311","ENSG00000138136"
"312","ENSG00000157542"
"313","ENSG00000287826"
"314","ENSG00000165588"
"315","ENSG00000170178"
"316","ENSG00000198033"
"317","ENSG00000100604"
"318","ENSG00000229859"
"319","ENSG00000213937"
"320","ENSG00000120729"
"321","ENSG00000113196"
"322","ENSG00000070886"
"323","ENSG00000109511"
"324","ENSG00000259417"
"325","ENSG00000137440"
"326","ENSG00000109205"
"327","ENSG00000153820"
"328","ENSG00000170075"
"329","ENSG00000163141"
"330","ENSG00000096264"
"331","ENSG00000014257"
"332","ENSG00000151834"
"333","ENSG00000070731"
"334","ENSG00000052344"
"335","ENSG00000237515"
"336","ENSG00000101842"
"337","ENSG00000279353"
"338","ENSG00000147724"
"339","ENSG00000109158"
"340","ENSG00000165215"
"341","ENSG00000167880"
"342","ENSG00000287430"
"343","ENSG00000263961"
"344","ENSG00000140986"
"345","ENSG00000165078"
"346","ENSG00000215018"
"347","ENSG00000175868"
"348","ENSG00000124701"
"349","ENSG00000121743"
"350","ENSG00000146147"
"351","ENSG00000168509"
"352","ENSG00000197616"
"353","ENSG00000132698"
"354","ENSG00000163435"
"355","ENSG00000248958"
"356","ENSG00000136457"
"357","ENSG00000119888"
"358","ENSG00000139144"
"359","ENSG00000258754"
"360","ENSG00000108602"
"361","ENSG00000115221"
"362","ENSG00000163993"
"363","ENSG00000134595"
"364","ENSG00000189377"
"365","ENSG00000105695"
"366","ENSG00000236333"
"367","ENSG00000167748"
"368","ENSG00000095917"
"369","ENSG00000006128"
"370","ENSG00000163157"
"371","ENSG00000137975"
"372","ENSG00000249825"
"373","ENSG00000130287"
"374","ENSG00000187268"
"375","ENSG00000180772"
"376","ENSG00000164007"
"377","ENSG00000253485"
"378","ENSG00000163833"
"379","ENSG00000121742"
"380","ENSG00000101951"
"381","ENSG00000119973"
"382","ENSG00000009709"
"383","ENSG00000106341"
"384","ENSG00000147381"
"385","ENSG00000174607"
"386","ENSG00000138100"
"387","ENSG00000115386"
"388","ENSG00000160862"
"389","ENSG00000253661"
"390","ENSG00000286564"
"391","ENSG00000111249"
"392","ENSG00000196376"
"393","ENSG00000173809"
"394","ENSG00000172005"
"395","ENSG00000139549"
"396","ENSG00000115263"
"397","ENSG00000116299"
"398","ENSG00000116748"
"399","ENSG00000183607"
"400","ENSG00000116147"
"401","ENSG00000198336"
"402","ENSG00000130477"
"403","ENSG00000146453"
"404","ENSG00000081248"
"405","ENSG00000086570"
"406","ENSG00000248746"
"407","ENSG00000006116"
"408","ENSG00000122852"
"409","ENSG00000110680"
"410","ENSG00000184811"
"411","ENSG00000161905"
"412","ENSG00000185303"
"413","ENSG00000112280"
