"","x"
"297","LOC101927401"
"298","AGBL1"
"299","MROH2B"
"300","MAGEA10"
"301","XKR4"
"302","LINC01363"
"303","ATP10B"
"304","KRT15"
"305","SLCO1C1"
"306","SOX2-OT"
"307","LINC03017"
"308","KLK11"
"309","KRT1"
"310","TUNAR"
"311","LBX1"
"312","KCNJ6"
"313","LOC124902005"
"314","OTX2"
"315","HOXD12"
"316","TUBA3C"
"317","CHGA"
"318","PGA3"
"319","CLDN9"
"320","MYOT"
"321","HAND1"
"322","EPHA8"
"323","ANXA10"
"324","CTXND1"
"325","FGFBP1"
"326","ODAM"
"327","SPHKAP"
"328","GPR37L1"
"329","BNIPL"
"330","NCR2"
"331","ACP3"
"332","GABRA2"
"333","ST6GALNAC2"
"334","PRSS8"
"335","SHISA9"
"336","VSIG1"
"337","ENSG00000279353"
"338","FAM135B"
"339","GABRA4"
"340","CLDN3"
"341","EVPL"
"342","ENSG00000287430"
"343","RHEX"
"344","RPL3L"
"345","CPA6"
"346","COL28A1"
"347","CALCB"
"348","APOBEC2"
"349","GJA3"
"350","MLIP"
"351","HJV"
"352","MYH6"
"353","RAB25"
"354","ELF3"
"355","ENSG00000248958"
"356","CHAD"
"357","EPCAM"
"358","PIK3C2G"
"359","ENSG00000258754"
"360","ALDH3A1"
"361","ITGB6"
"362","S100P"
"363","SOX3"
"364","CXCL17"
"365","MAG"
"366","ENSG00000236333"
"367","KLK1"
"368","TPSD1"
"369","TAC1"
"370","TMOD4"
"371","CLCA2"
"372","THBS4-AS1"
"373","NCAN"
"374","FAM9C"
"375","AGTR2"
"376","CLDN19"
"377","PCDHGA5"
"378","FBXO40"
"379","GJB6"
"380","PAGE4"
"381","PRLHR"
"382","PAX7"
"383","PPP1R17"
"384","MAGEA4"
"385","UGT8"
"386","TRIM54"
"387","REG1A"
"388","AZGP1"
"389","ZFHX4-AS1"
"390","ENSG00000286564"
"391","CUX2"
"392","SLC35F1"
"393","TDRD12"
"394","MAL"
"395","DHH"
"396","GCG"
"397","ELAPOR1"
"398","AMPD1"
"399","GKN2"
"400","TNR"
"401","MYL4"
"402","UNC13A"
"403","PNLDC1"
"404","CACNA1S"
"405","FAT2"
"406","ACTN3"
"407","CACNG3"
"408","SFTPA1"
"409","CALCA"
"410","TRARG1"
"411","ALOX15"
"412","SFTPA2"
"413","COL9A1"
"414","BARX2"
"415","PSCA"
"416","SHC4"
"417","RERGL"
"418","ENSG00000287427"
"419","SPX"
"420","GFRA3"
"421","NRXN1"
"422","RELN"
"423","ADAMTS19"
"424","SRL"
"425","SLN"
"426","CHRM2"
"427","MYL3"
"428","SLC34A2"
"429","GRIA2"
"430","GFAP"
"431","LRRC2"
"432","CLDN18"
"433","CX3CR1"
"434","PRSS2"
"435","COL25A1"
"436","TACR2"
"437","KCNQ2"
"438","CRH"
"439","LCMT1-AS2"
"440","RBFOX3"
"441","AATK"
"442","CTSE"
"443","EDN3"
"444","ALK"
"445","LCN2"
"446","PPP1R1A"
"447","ERBB3"
"448","UNC5D"
"449","ADIPOQ"
"450","OR52K3P"
"451","TNNI2"
"452","CMA1"
"453","NPTX1"
"454","CASQ1"
"455","SHH"
"456","GRIK3"
"457","MEOX1"
"458","CHGB"
"459","GAS2"
"460","VGF"
"461","MYL11"
"462","ADCYAP1"
"463","CTSV"
"464","PRIMA1"
"465","CYTL1"
"466","ITIH2"
"467","XIRP2"
"468","MYOZ1"
"469","STMN2"
"470","LMOD2"
"471","PLEKHB1"
"472","AP1M2"
"473","PLEKHA6"
"474","KRT14"
"475","TNNC2"
"476","HPGD"
"477","BPIFB1"
"478","MUC5AC"
"479","TPSB2"
"480","OLFM4"
"481","NRAP"
"482","TNMD"
"483","L1CAM"
"484","SHISA2"
"485","COL22A1"
"486","PRLR"
"487","ZCCHC12"
"488","CTSG"
"489","AGR2"
